city,createTime,companyFullName,district,positionName,salary
深圳,2017/9/20 10:49,深圳市泰信通信息技术有限公司,龙华新区,python开发工程师,9k-15k
深圳,2017/9/4 22:13,深圳爱聚印科技有限公司,,Python开发工程师,7k-12k
深圳,2017/9/13 17:29,深圳网脊科技开发有限公司,南山区,Python开发工程师,10k-15k
深圳,2017/8/28 10:30,宝德科技股份有限公司,龙华新区,python工程师,9K-15K
深圳,2017/9/21 19:40,深圳市惠群商业数据技术有限公司,南山区,Python开发运维工程师,7k-14k
深圳,2017/9/18 14:09,深圳波罗创意科教有限公司,南山区,高级Python后台开发工程师,15k-25k
深圳,2017/9/11 20:06,深圳前海九慧金服科技有限公司,福田区,Python工程师,8k-15k
深圳,2017/9/25 15:03,深圳华策辉弘科技有限公司,福田区,Python AI 高级工程师,15k-20k
深圳,2017/9/28 9:32,深圳市点趣网络技术有限公司,宝安区,Python助理开发工程师,5k-8k
深圳,2017/8/29 17:04,深圳市龙数信息技术有限公司,南山区,Python开发工程师,6k-12k
